,L1000 Signature ID,Drug,Up/Down,Dose,Cell line,Time point,Mean Pearson Correlation
235,REP.A009_THP1_24H_D13_BVD-523_10uM down,BVD-523,down,10uM,THP1,24H,0.15256225
236,CPC011_VCAP_24H_L23_mifepristone_10uM down,mifepristone,down,10uM,VCAP,24H,0.15222359
237,REP.B009_THP1_24H_G21_TAK-733_0.25uM down,TAK-733,down,0.25uM,THP1,24H,0.15219666
238,REP.A014_YAPC_24H_J03_PHA-848125_1.11uM down,PHA-848125,down,1.11uM,YAPC,24H,0.15211788
239,REP.B016_THP1_24H_A23_palbociclib_0.03uM down,palbociclib,down,0.03uM,THP1,24H,0.15211023
240,PAC058_U2OS_6H_H19_wortmannin_20uM down,wortmannin,down,20uM,U2OS,6H,0.15206504
241,LJP009_SHSY5Y_24H_E19_ponatinib_10uM down,ponatinib,down,10uM,SHSY5Y,24H,0.15199593
242,REP.A005_MCF7_24H_G20_TAS-103_3.33uM down,TAS-103,down,3.33uM,MCF7,24H,0.15187807
243,CRCGN006_HEPG2_24H_K08_wortmannin_6.66uM down,wortmannin,down,6.66uM,HEPG2,24H,0.15186581
244,ERG004_VCAP_24H_J19_BRD-K50204028_30uM down,BRD-K50204028,down,30uM,VCAP,24H,0.15184614
245,REP.A018_A549_24H_C07_RG-7388_10uM down,RG-7388,down,10uM,A549,24H,0.15181452
246,PAC022_U2OS_6H_D21_BRD-K76086682_10uM down,BRD-K76086682,down,10uM,U2OS,6H,0.15169229
247,MOAR010_SH4_24H_K08_SAR405838_3.33uM down,SAR405838,down,3.33uM,SH4,24H,0.15164226
248,REP.B005_PC3_24H_E21_deforolimus_0.25uM down,deforolimus,down,0.25uM,PC3,24H,0.15160887
249,REP.A021_HT29_24H_E13_MEK-162_10uM down,MEK-162,down,10uM,HT29,24H,0.15151852
250,AICHI001_OCILY19_24H_L08_BRD-K16277767_2.5uM down,BRD-K16277767,down,2.5uM,OCILY19,24H,0.15116392
251,AICHI001_NALM6_24H_H13_BRD-K54606188_10uM down,BRD-K54606188,down,10uM,NALM6,24H,0.1510846
252,REP.B009_MCF10A_24H_G19_TAK-733_2.22uM down,TAK-733,down,2.22uM,MCF10A,24H,0.1510763
253,CPC006_HCC515_24H_K22_7b-cis_10uM down,7b-cis,down,10uM,HCC515,24H,0.15104099
254,ERG005_VCAP_24H_D12_sirolimus_4uM down,sirolimus,down,4uM,VCAP,24H,0.15100001
255,ASG003_XC.P930_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.P930,24H,0.15090168
256,REP.B023_HT29_24H_O07_CEP-37440_2.22uM down,CEP-37440,down,2.22uM,HT29,24H,0.1508145
257,REP.B016_THP1_24H_A21_palbociclib_0.25uM down,palbociclib,down,0.25uM,THP1,24H,0.15072359
258,REP.B005_PC3_24H_E22_deforolimus_0.08uM down,deforolimus,down,0.08uM,PC3,24H,0.15062496
259,REP.B023_MCF10A_24H_G19_ibrutinib_2.22uM down,ibrutinib,down,2.22uM,MCF10A,24H,0.15055244
260,CPC006_VCAP_24H_C04_AZD-8055_10uM down,AZD-8055,down,10uM,VCAP,24H,0.15039349
261,ERG005_VCAP_24H_K12_thioridazine_20uM down,thioridazine,down,20uM,VCAP,24H,0.1503534
262,REP.A012_THP1_24H_O22_cobimetinib_0.37uM down,cobimetinib,down,0.37uM,THP1,24H,0.15027529
263,CPC020_VCAP_24H_A04_wortmannin_10uM down,wortmannin,down,10uM,VCAP,24H,0.15016732
264,ASG003_XC.P935_24H_B05_R-547_1.11uM down,R-547,down,1.11uM,XC.P935,24H,0.14971258
265,DOS014_VCAP_24H_C12_vorinostat_10uM down,vorinostat,down,10uM,VCAP,24H,0.14959349
266,MUC.CP002_NKDBA_24H_K04_SA-247582_3.33uM down,SA-247582,down,3.33uM,NKDBA,24H,0.14954287
267,REP.B016_MCF10A_24H_E02_R-547_0.74uM down,R-547,down,0.74uM,MCF10A,24H,0.1494637
268,DOS013_VCAP_24H_C12_vorinostat_10uM down,vorinostat,down,10uM,VCAP,24H,0.14938684
269,LJP009_THP1_24H_O04_PD-0325901_0.37uM down,PD-0325901,down,0.37uM,THP1,24H,0.14928228
270,REP.B005_PC3_24H_E19_deforolimus_2.22uM down,deforolimus,down,2.22uM,PC3,24H,0.14927013
271,REP.A009_THP1_24H_G19_TAK-733_10uM down,TAK-733,down,10uM,THP1,24H,0.14918552
272,ERG017_VCAP_24H_O23_BRD-K73434853_10uM down,BRD-K73434853,down,10uM,VCAP,24H,0.149085
273,CPD003_MCF7_24H_O06_toremifene_10uM down,toremifene,down,10uM,MCF7,24H,0.14903615
274,REP.A025_THP1_24H_D13_tosedostat_10uM down,tosedostat,down,10uM,THP1,24H,0.14883871
275,REP.B012_A375_24H_P19_foretinib_2.22uM down,foretinib,down,2.22uM,A375,24H,0.14880572
276,REP.A006_PC3_24H_N19_GDC-0980_10uM down,GDC-0980,down,10uM,PC3,24H,0.14875613
277,CVD001_HEPG2_24H_B15_BRD-K68552125_2.5uM down,BRD-K68552125,down,2.5uM,HEPG2,24H,0.14872766
278,REP.A016_A549_24H_A23_palbociclib_0.125uM down,palbociclib,down,0.125uM,A549,24H,0.14864463
279,ASG003_XC.P901_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P901,24H,0.14860977
280,DOSBIO002_MCF7_24H_A21_BRD-K95285735_10uM down,BRD-K95285735,down,10uM,MCF7,24H,0.14857481
281,REP.B005_PC3_24H_E23_deforolimus_0.03uM down,deforolimus,down,0.03uM,PC3,24H,0.14855242
282,ASG003_XC.P905_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P905,24H,0.14852042
283,REP.B016_HT29_24H_E02_R-547_0.74uM down,R-547,down,0.74uM,HT29,24H,0.14849795
284,REP.B017_A375_24H_I07_Ro-4987655_2.22uM down,Ro-4987655,down,2.22uM,A375,24H,0.14830485
285,CRCGN004_HMELZ_24H_K03_alpha-estradiol_20uM down,alpha-estradiol,down,20uM,HMELZ,24H,0.14819355
286,MOAR009_HEC265_24H_C10_nutlin-3_10uM down,nutlin-3,down,10uM,HEC265,24H,0.14808828
287,KMS002_NOMO1_24H_E06_BRD-K51556300_0.37uM down,BRD-K51556300,down,0.37uM,NOMO1,24H,0.14799598
288,PAC059_U2OS_6H_K03_BRD-K80496944_10uM down,BRD-K80496944,down,10uM,U2OS,6H,0.14799197
289,PAC026_U2OS_6H_E10_geldanamycin_20uM down,geldanamycin,down,20uM,U2OS,6H,0.14773773
290,REP.B023_A375_24H_O14_valrubicin_0.74uM down,valrubicin,down,0.74uM,A375,24H,0.14769225
291,REP.A024_YAPC_24H_C14_BRD-K74305673_3.33uM down,BRD-K74305673,down,3.33uM,YAPC,24H,0.14760078
292,ASG002_CAL29_24H_P16_palbociclib_10uM down,palbociclib,down,10uM,CAL29,24H,0.1475261
293,ERAM001_MCF7_24H_I13_AZD-9291_20uM down,AZD-9291,down,20uM,MCF7,24H,0.14746186
294,PBIOA010_XC.R10_24H_B17_NVP-BEZ235_3.33uM down,NVP-BEZ235,down,3.33uM,XC.R10,24H,0.14745565
295,AICHI002_MINO_24H_M21_BRD-A19037878_0.66uM down,BRD-A19037878,down,0.66uM,MINO,24H,0.14727527
296,DOS021_VCAP_24H_C12_vorinostat_10uM down,vorinostat,down,10uM,VCAP,24H,0.14711337
297,CPD003_MCF7_24H_E14_fluspirilene_10uM down,fluspirilene,down,10uM,MCF7,24H,0.14702015
298,REP.A013_A549_24H_D09_camptothecin_1.11uM down,camptothecin,down,1.11uM,A549,24H,0.14689663
299,CPC011_VCAP_24H_D15_oligomycin-c_10uM down,oligomycin-c,down,10uM,VCAP,24H,0.14680243
300,FIBR015_MCLF022CN_6H_N16_BRD-A23473781_4uM down,BRD-A23473781,down,4uM,MCLF022CN,6H,0.1467328
301,LCP001_MCF10A.WT_12H_B20_palbociclib_3.33uM down,palbociclib,down,3.33uM,MCF10A.WT,12H,0.14654289
302,REP.B004_A375_24H_E13_KPT-330_2.22uM down,KPT-330,down,2.22uM,A375,24H,0.14653817
303,REP.B006_MCF7_24H_I15_mitoxantrone_0.25uM down,mitoxantrone,down,0.25uM,MCF7,24H,0.1464508
304,REP.A011_HT29_24H_N08_PF-04691502_3.33uM down,PF-04691502,down,3.33uM,HT29,24H,0.14644353
305,DOS002_VCAP_24H_I05_LY-294002_10uM down,LY-294002,down,10uM,VCAP,24H,0.14639759
306,REP.B005_A375_24H_G20_TAS-103_0.74uM down,TAS-103,down,0.74uM,A375,24H,0.14635766
307,REP.B006_A375_24H_I14_mitoxantrone_0.74uM down,mitoxantrone,down,0.74uM,A375,24H,0.14631319
308,REP.A018_A375_24H_J19_AMG-232_10uM down,AMG-232,down,10uM,A375,24H,0.1462863
309,CPC015_MCF7_24H_H23_naproxol_10uM down,naproxol,down,10uM,MCF7,24H,0.14627345
310,ASG003_XC.P906_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P906,24H,0.14620163
311,CRCGN005_A549_24H_O03_mitoxantrone_2.22uM down,mitoxantrone,down,2.22uM,A549,24H,0.14610122
312,CPC010_A549_24H_I12_BRD-K78385490_10uM down,BRD-K78385490,down,10uM,A549,24H,0.14606118
313,ERG017_VCAP_24H_O07_BRD-K85642378_10uM down,BRD-K85642378,down,10uM,VCAP,24H,0.14605242
314,DOS018_VCAP_24H_C12_vorinostat_10uM down,vorinostat,down,10uM,VCAP,24H,0.14602046
315,REP.A009_THP1_24H_G22_TAK-733_0.37uM down,TAK-733,down,0.37uM,THP1,24H,0.14598781
316,REP.B009_A375_24H_G21_TAK-733_0.25uM down,TAK-733,down,0.25uM,A375,24H,0.14595522
317,REP.B009_A375_24H_G20_TAK-733_0.74uM down,TAK-733,down,0.74uM,A375,24H,0.14582187
318,PBIOA015_HT29_24H_M01_vemurafenib_10uM down,vemurafenib,down,10uM,HT29,24H,0.14554475
319,REP.B020_THP1_24H_F01_refametinib_2.22uM down,refametinib,down,2.22uM,THP1,24H,0.14548582
320,PAC068_U2OS_6H_E10_BRD-K58586013_10uM down,BRD-K58586013,down,10uM,U2OS,6H,0.14546369
321,CEGS002_HIMG001_24H_G16_tacedinaline_1.25uM down,tacedinaline,down,1.25uM,HIMG001,24H,0.14530766
322,CPC004_VCAP_24H_A04_wortmannin_10uM down,wortmannin,down,10uM,VCAP,24H,0.14521371
323,FIBR001_MCLF117SZ_6H_G14_CD-437_0.74uM down,CD-437,down,0.74uM,MCLF117SZ,6H,0.14517072
324,PAC065_U2OS_6H_I22_BRD-A90289676_10uM down,BRD-A90289676,down,10uM,U2OS,6H,0.14514114
325,AICHI001_HBL1_24H_A09_GDC-0941_0.66uM down,GDC-0941,down,0.66uM,HBL1,24H,0.14512247
326,REP.A015_MDAMB231_24H_C07_voxtalisib_10uM down,voxtalisib,down,10uM,MDAMB231,24H,0.14509678
327,REP.A009_THP1_24H_G23_TAK-733_0.125uM down,TAK-733,down,0.125uM,THP1,24H,0.14494757
328,REP.A022_HT29_24H_L19_ENMD-2076_10uM down,ENMD-2076,down,10uM,HT29,24H,0.14492276
329,REP.B016_THP1_24H_E01_R-547_2.22uM down,R-547,down,2.22uM,THP1,24H,0.1449028
330,LJP001_HS578T_24H_M09_palbociclib_10uM down,palbociclib,down,10uM,HS578T,24H,0.14482306
331,REP.A025_MCF7_24H_H02_AZD-2014_3.33uM down,AZD-2014,down,3.33uM,MCF7,24H,0.1447581
332,PBIOA015_A549_24H_D10_daunorubicin_0.37uM down,daunorubicin,down,0.37uM,A549,24H,0.1447258
333,REP.B017_MCF10A_24H_I10_Ro-4987655_0.08uM down,Ro-4987655,down,0.08uM,MCF10A,24H,0.14471486
334,REP.A016_YAPC_24H_L13_azacitidine_10uM down,azacitidine,down,10uM,YAPC,24H,0.1446707
335,ASG003_XC.P907_24H_B05_R-547_1.11uM down,R-547,down,1.11uM,XC.P907,24H,0.14462858
336,PAC009_U2OS_6H_K21_BRD-K43194164_10uM down,BRD-K43194164,down,10uM,U2OS,6H,0.14458945
337,REP.A004_YAPC_24H_L07_saracatinib_10uM down,saracatinib,down,10uM,YAPC,24H,0.14457895
338,MOAR001_PC3_24H_P16_NU-7441_10uM down,NU-7441,down,10uM,PC3,24H,0.14451008
339,LGR001_XC.L100.M_24H_B14_palbociclib_3.33uM down,palbociclib,down,3.33uM,XC.L100.M,24H,0.1444413
340,REP.A011_A549_24H_N08_PF-04691502_3.33uM down,PF-04691502,down,3.33uM,A549,24H,0.14432389
341,REP.A025_THP1_24H_C13_lomitapide_10uM down,lomitapide,down,10uM,THP1,24H,0.14431325
342,REP.B001_PC3_24H_I03_PKI-179_0.25uM down,PKI-179,down,0.25uM,PC3,24H,0.14428985
343,DOSVAL004_A375_24H_G05_BRD-K93830491_10uM down,BRD-K93830491,down,10uM,A375,24H,0.14428046
344,REP.B015_PC3_24H_L04_MLN-0128_0.08uM down,MLN-0128,down,0.08uM,PC3,24H,0.14425401
345,LJP008_ASC.C_24H_G15_dasatinib_1.11uM down,dasatinib,down,1.11uM,ASC.C,24H,0.14422402
346,MOAR007_PC3_24H_O04_sunitinib_10uM down,sunitinib,down,10uM,PC3,24H,0.14414287
347,EMU001_MINO_24H_G14_tanespimycin_2.5uM down,tanespimycin,down,2.5uM,MINO,24H,0.14409718
348,FIBR003_MCLF027CN_6H_E20_genistein_20uM down,genistein,down,20uM,MCLF027CN,6H,0.14407195
349,REP.B013_MCF10A_24H_D08_camptothecin_0.74uM down,camptothecin,down,0.74uM,MCF10A,24H,0.14405306
350,ERG004_VCAP_24H_L15_BRD-K79826210_30uM down,BRD-K79826210,down,30uM,VCAP,24H,0.14403646
351,ASG003_XC.P922_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P922,24H,0.1439395
352,DOS012_VCAP_24H_M09_geldanamycin_10uM down,geldanamycin,down,10uM,VCAP,24H,0.1437652
353,CRCGN007_HEPG2_24H_K08_wortmannin_6.66uM down,wortmannin,down,6.66uM,HEPG2,24H,0.14373493
354,PRISM001_PC3_24H_B03_BRD-A19037878_10uM down,BRD-A19037878,down,10uM,PC3,24H,0.14360084
355,PBIOA022_A375_24H_M01_nutlin-3_10uM down,nutlin-3,down,10uM,A375,24H,0.1435951
356,REP.A016_PC3_24H_E03_R-547_1.11uM down,R-547,down,1.11uM,PC3,24H,0.14353848
357,PAC022_U2OS_6H_F07_BRD-K79876173_10uM down,BRD-K79876173,down,10uM,U2OS,6H,0.14345783
358,ASG003_XC.P907_24H_K18_palbociclib_0.12uM down,palbociclib,down,0.12uM,XC.P907,24H,0.14345036
359,FIBR011_MCLF015CN_6H_K14_BRD-A24054354_4uM down,BRD-A24054354,down,4uM,MCLF015CN,6H,0.14337704
360,REP.A010_A549_24H_D13_CX-5461_10uM down,CX-5461,down,10uM,A549,24H,0.1433735
361,REP.A002_A549_24H_J09_LY-2874455_1.11uM down,LY-2874455,down,1.11uM,A549,24H,0.14329268
362,PAC042_U2OS_6H_M15_BRD-K75749796_10uM down,BRD-K75749796,down,10uM,U2OS,6H,0.14319105
363,FIBR004_MCLF027CN_6H_N18_parthenolide_4uM down,parthenolide,down,4uM,MCLF027CN,6H,0.14319025
364,REP.A011_MCF7_24H_N10_PF-04691502_0.37uM down,PF-04691502,down,0.37uM,MCF7,24H,0.1430121
365,HOG003_A549_24H_K18_idarubicin_0.125uM down,idarubicin,down,0.125uM,A549,24H,0.14294757
366,PAC068_U2OS_6H_M04_BRD-A89983325_10uM down,BRD-A89983325,down,10uM,U2OS,6H,0.14280722
367,REP.A019_A375_24H_M24_PD-0325901_0.04uM down,PD-0325901,down,0.04uM,A375,24H,0.14278048
368,LJP001_MDAMB231_24H_M09_palbociclib_10uM down,palbociclib,down,10uM,MDAMB231,24H,0.14277415
369,DOS013_VCAP_24H_M09_geldanamycin_10uM down,geldanamycin,down,10uM,VCAP,24H,0.14271775
370,ASG002_IM95_24H_P17_palbociclib_1.11uM down,palbociclib,down,1.11uM,IM95,24H,0.1427137
371,ASG003_XC.P908_24H_B05_R-547_1.11uM down,R-547,down,1.11uM,XC.P908,24H,0.14260322
372,PAC058_U2OS_6H_F08_BRD-K99149118_10uM down,BRD-K99149118,down,10uM,U2OS,6H,0.1425502
373,REP.A016_MDAMB231_24H_E02_R-547_3.33uM down,R-547,down,3.33uM,MDAMB231,24H,0.14254035
374,TAA001_SHSY5Y_24H_K07_tanespimycin_10uM down,tanespimycin,down,10uM,SHSY5Y,24H,0.1425185
375,REP.B019_MCF10A_24H_M19_PD-0325901_2.22uM down,PD-0325901,down,2.22uM,MCF10A,24H,0.14250396
376,CPC005_HT29_24H_N11_rhodomyrtoxin-b_10uM down,rhodomyrtoxin-b,down,10uM,HT29,24H,0.14249592
377,REP.B016_THP1_24H_E03_R-547_0.25uM down,R-547,down,0.25uM,THP1,24H,0.14246938
378,REP.A017_THP1_24H_I07_Ro-4987655_10uM down,Ro-4987655,down,10uM,THP1,24H,0.14235222
379,PBIOA020_A375_24H_P01_NVP-TAE684_10uM down,NVP-TAE684,down,10uM,A375,24H,0.142187
380,REP.B019_MCF10A_24H_M23_PD-0325901_0.03uM down,PD-0325901,down,0.03uM,MCF10A,24H,0.14210477
381,MUC.CP002_NKDBA_24H_K03_SA-247582_10uM down,SA-247582,down,10uM,NKDBA,24H,0.14201626
382,ASG002_NCIH1437_24H_P16_palbociclib_10uM down,palbociclib,down,10uM,NCIH1437,24H,0.14193875
383,PAC059_U2OS_6H_L03_BRD-K03652504_10uM down,BRD-K03652504,down,10uM,U2OS,6H,0.14191602
384,CEGS001_NPC.170_24H_D19_sertraline_25uM down,sertraline,down,25uM,NPC.170,24H,0.1418835
385,PAC043_U2OS_6H_C20_BRD-K57155690_10uM down,BRD-K57155690,down,10uM,U2OS,6H,0.14185888
386,REP.A015_PC3_24H_L03_MLN-0128_1.11uM down,MLN-0128,down,1.11uM,PC3,24H,0.1418583
387,FIBR027_MCLF130CN_6H_C14_idarubicin_0.04uM down,idarubicin,down,0.04uM,MCLF130CN,6H,0.14175303
388,FIBR029_MCLF040SZ_6H_P03_teniposide_0.3uM down,teniposide,down,0.3uM,MCLF040SZ,6H,0.14165446
389,REP.B018_MCF7_24H_C08_RG-7388_0.74uM down,RG-7388,down,0.74uM,MCF7,24H,0.1416265
390,FIBR025_MCLF141SZ_6H_C14_idarubicin_0.04uM down,idarubicin,down,0.04uM,MCLF141SZ,6H,0.14155646
391,REP.A009_HT29_24H_D14_BVD-523_3.33uM down,BVD-523,down,3.33uM,HT29,24H,0.14137141
392,CPC001_VCAP_24H_M12_BRD-K74305673_10uM down,BRD-K74305673,down,10uM,VCAP,24H,0.14133741
393,CRCGN005_A549_24H_O05_mitoxantrone_0.25uM down,mitoxantrone,down,0.25uM,A549,24H,0.14126039
394,ASG003_XC.P910_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P910,24H,0.14122087
395,PBIOA015_HCC515_24H_O19_midostaurin_10uM down,midostaurin,down,10uM,HCC515,24H,0.14121455
396,REP.A015_YAPC_24H_O10_BRD-K61195623_0.37uM down,BRD-K61195623,down,0.37uM,YAPC,24H,0.14114457
397,DOS010_VCAP_24H_C12_vorinostat_10uM down,vorinostat,down,10uM,VCAP,24H,0.14113475
398,REP.A012_THP1_24H_O19_cobimetinib_10uM down,cobimetinib,down,10uM,THP1,24H,0.14111838
399,KMS002_NOMO1_24H_I06_BRD-K49010888_0.37uM down,BRD-K49010888,down,0.37uM,NOMO1,24H,0.14110397
400,PAC065_U2OS_6H_C21_BRD-K75252192_10uM down,BRD-K75252192,down,10uM,U2OS,6H,0.14089157
401,REP.B014_MCF10A_24H_M03_AZD-8330_0.25uM down,AZD-8330,down,0.25uM,MCF10A,24H,0.14086798
402,REP.A012_A549_24H_P19_foretinib_10uM down,foretinib,down,10uM,A549,24H,0.1408145
403,LJP007_YAPC_24H_N07_BGT-226_10uM down,BGT-226,down,10uM,YAPC,24H,0.14077201
404,DOSBIO001_NPC_24H_H21_BRD-K96041907_10uM down,BRD-K96041907,down,10uM,NPC,24H,0.140754
405,CPC016_MCF7_24H_O07_teniposide_10uM down,teniposide,down,10uM,MCF7,24H,0.14072578
406,REP.A010_A375_24H_A19_nutlin-3_10uM down,nutlin-3,down,10uM,A375,24H,0.14064632
407,CPC005_A549_24H_G20_etoposide_10uM down,etoposide,down,10uM,A549,24H,0.14061292
408,MOA001_U2OS_24H_D15_NVP-BEZ235_1.11uM down,NVP-BEZ235,down,1.11uM,U2OS,24H,0.14060165
409,PAC068_U2OS_6H_J03_BRD-A19829191_10uM down,BRD-A19829191,down,10uM,U2OS,6H,0.14059272
410,LCP001_MCF10A.WT_12H_B19_palbociclib_10uM down,palbociclib,down,10uM,MCF10A.WT,12H,0.14057083
411,CPC005_PC3_24H_B23_purvalanol-a_10uM down,purvalanol-a,down,10uM,PC3,24H,0.14050403
412,CRCGN005_HEPG2_24H_O05_mitoxantrone_0.25uM down,mitoxantrone,down,0.25uM,HEPG2,24H,0.14036691
413,REP.B026_MCF7_24H_L21_doxorubicin_0.25uM down,doxorubicin,down,0.25uM,MCF7,24H,0.1403563
414,HOG001_A549_24H_I05_BRD-A28105619_1.11uM down,BRD-A28105619,down,1.11uM,A549,24H,0.14025612
415,PBIOA018_MCF7_24H_G01_regorafenib_10uM down,regorafenib,down,10uM,MCF7,24H,0.14019765
416,POL001_HEPG2_24H_H12_thapsigargin_0.04uM down,thapsigargin,down,0.04uM,HEPG2,24H,0.14015575
417,REP.A011_MCF7_24H_N09_PF-04691502_1.11uM down,PF-04691502,down,1.11uM,MCF7,24H,0.14015262
418,CRCGN007_HEPG2_24H_K07_wortmannin_10uM down,wortmannin,down,10uM,HEPG2,24H,0.13987906
419,REP.B015_MCF10A_24H_F19_dacomitinib_2.22uM down,dacomitinib,down,2.22uM,MCF10A,24H,0.13987449
420,PCLB001_MCF7_24H_A17_COL-3_10uM down,COL-3,down,10uM,MCF7,24H,0.13983132
421,PAC008_U2OS_6H_K22_BRD-K59658487_10uM down,BRD-K59658487,down,10uM,U2OS,6H,0.13973285
422,CPC005_MCF7_24H_N11_rhodomyrtoxin-b_10uM down,rhodomyrtoxin-b,down,10uM,MCF7,24H,0.13972878
423,REP.A014_MCF7_24H_J05_PHA-848125_0.125uM down,PHA-848125,down,0.125uM,MCF7,24H,0.13965455
